Raport la nivel de campanie
Toată perioada
Acțiune de conversie	Starea campaniei	Campanie	Buget	Numele bugetului	Tip de buget	Codul monedei	Stare	Motive pentru stare	Scorul de optimizare	Tipul campaniei	CPM med.	Af.	Interacțiuni	Rata de interacțiune	Cost mediu	Cost	Conv. (comparabil cu alte platforme)	Cost / Conv. (comparabil cu alte platforme)	Valoare conv. / Cost (comparabil cu alte platforme)	Tipul strategiei de licitare	Clicuri	Rata de conv.	Valoarea conversiilor	Valoare conv./Cost	Conversii	CPC med.	Cost/Conversie	Valoarea inițială a conv.
 --	Total: Campanii	 --	 --	 --	 --	RON	 --		 --	 --	0	0	0	 --	0	0	"3,00"	0	0	 --	0	 --	"2.950.712,28"	0	"33.307,50"	0	0	"2.950.653,51"
 --	Total: Campanii	 --	 --	 --	 --	RON	 --		 --	 --	0	0	0	 --	0	0	0	0	0	 --	0	 --	0	0	0	0	0	0
 --	Total: Campanii	 --	 --	 --	 --	 --	 --		 --	 --	0	0	0	 --	0	0	0	0	0	 --	0	 --	0	0	0	0	0	0
Apeluri din anunțuri	Total: Campanii	 --	 --	 --	 --	 --	 --		 --	 --	0	0	0	 --	0	0	0	0	0	 --	0	 --	0	0	0	0	0	0
Certificat Constatator Online Conversie	Total: Campanii	 --	 --	 --	 --	 --	 --		 --	 --	0	0	0	 --	0	0	0	0	0	 --	0	 --	0	0	0	0	0	0
Coș de cumpărături	Total: Campanii	 --	 --	 --	 --	 --	 --		 --	 --	0	0	0	 --	0	0	0	0	0	 --	0	 --	0	0	0	0	0	0
Eliberare Certificat de Naștere Conversie	Total: Campanii	 --	 --	 --	 --	 --	 --		 --	 --	0	0	0	 --	0	0	0	0	0	 --	0	 --	0	0	0	0	0	0
Extras de Carte Funciara Online Conversie	Total: Campanii	 --	 --	 --	 --	 --	 --		 --	 --	0	0	0	 --	0	0	0	0	0	 --	0	 --	0	0	0	0	0	0
Purchase	Total: Campanii	 --	 --	 --	 --	 --	 --		 --	 --	0	0	0	 --	0	0	0	0	0	 --	0	 --	0	0	0	0	0	0
Transcriere Certificat de Căsătorie Conversie	Total: Campanii	 --	 --	 --	 --	 --	 --		 --	 --	0	0	0	 --	0	0	0	0	0	 --	0	 --	0	0	0	0	0	0
Transcriere Certificat de Naștere Conversie	Total: Campanii	 --	 --	 --	 --	 --	 --		 --	 --	0	0	0	 --	0	0	0	0	0	 --	0	 --	0	0	0	0	0	0
 --	Total: Campanii	 --	 --	 --	 --	 --	 --		 --	 --	0	0	0	 --	0	0	0	0	0	 --	0	 --	0	0	0	0	0	0
Apeluri din anunțuri	Total: Campanii	 --	 --	 --	 --	RON	 --		 --	 --	0	0	0	 --	0	0	"0,00"	0	0	 --	0	 --	"13,00"	0	"13,00"	0	0	"2,00"
Certificat Constatator Online Conversie	Total: Campanii	 --	 --	 --	 --	RON	 --		 --	 --	0	0	0	 --	0	0	"0,00"	0	0	 --	0	 --	"0,00"	0	"129,00"	0	0	"0,00"
Coș de cumpărături	Total: Campanii	 --	 --	 --	 --	RON	 --		 --	 --	0	0	0	 --	0	0	"0,00"	0	0	 --	0	 --	"1.684,00"	0	"1.684,00"	0	0	"1.684,00"
Eliberare Certificat de Naștere Conversie	Total: Campanii	 --	 --	 --	 --	RON	 --		 --	 --	0	0	0	 --	0	0	"0,00"	0	0	 --	0	 --	"0,00"	0	"129,00"	0	0	"0,00"
Extras de Carte Funciara Online Conversie	Total: Campanii	 --	 --	 --	 --	RON	 --		 --	 --	0	0	0	 --	0	0	"0,00"	0	0	 --	0	 --	"0,00"	0	"129,00"	0	0	"0,00"
Purchase	Total: Campanii	 --	 --	 --	 --	RON	 --		 --	 --	0	0	0	 --	0	0	"3,00"	0	0	 --	0	 --	"2.949.015,28"	0	"31.196,50"	0	0	"2.948.967,51"
Transcriere Certificat de Căsătorie Conversie	Total: Campanii	 --	 --	 --	 --	RON	 --		 --	 --	0	0	0	 --	0	0	"0,00"	0	0	 --	0	 --	"0,00"	0	"26,00"	0	0	"0,00"
Transcriere Certificat de Naștere Conversie	Total: Campanii	 --	 --	 --	 --	RON	 --		 --	 --	0	0	0	 --	0	0	"0,00"	0	0	 --	0	 --	"0,00"	0	"1,00"	0	0	"0,00"
	Total: Cont					RON					"281,53"	7.422.018	1.005.458	"13,55%"	"2,08"	"2089538,89"	"3,00"	"696512,96"	"0,00"		962.647	"3,31%"	"2.950.712,28"	"1,41"	"33.307,50"	"2,17"	"62,73"	"2.950.653,51"
Certificat Constatator Online Conversie	Total: Cont										0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"129,00"	0	0	"0,00"
Coș de cumpărături	Total: Cont										0	0	0	 --	0	0	"0,00"	0	0		0	 --	"1.684,00"	0	"1.684,00"	0	0	"1.684,00"
Transcriere Certificat de Căsătorie Conversie	Total: Cont										0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"26,00"	0	0	"0,00"
Conversația a început	Total: Cont										0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"0,00"	0	0	"0,00"
Transcriere Certificat de Naștere Conversie	Total: Cont										0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"1,00"	0	0	"0,00"
Purchase	Total: Cont										0	0	0	 --	0	0	"3,00"	0	0		0	 --	"2.949.015,28"	0	"31.196,50"	0	0	"2.948.967,51"
Extras de Carte Funciara Online Conversie	Total: Cont										0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"129,00"	0	0	"0,00"
Eliberare Certificat de Naștere Conversie	Total: Cont										0	0	0	 --	0	0	"0,00"	0	0		0	 --	"0,00"	0	"129,00"	0	0	"0,00"
Apeluri din anunțuri	Total: Cont										0	0	0	 --	0	0	"0,00"	0	0		0	 --	"13,00"	0	"13,00"	0	0	"2,00"
	Total: Căutați					RON				Căutați	"403,32"	5.041.017	836.501	"16,59%"	"2,43"	"2033119,13"	"0,00"	0	"0,00"		836.501	"3,91%"	"2.895.558,63"	"1,42"	"32.702,90"	"2,43"	"62,17"	"2.895.500,52"
	Total: Performanță maximă					RON				Performanță maximă	"30,31"	1.782.458	155.491	"8,72%"	"0,35"	"54027,91"	"0,00"	0	"0,00"		112.790	"0,38%"	"55.153,65"	"1,02"	"592,95"	"0,48"	"91,12"	"55.152,99"
