termen,campanie,clicuri,cost_ron,conversii,valoare_conv_ron
ocpi arad,Extras CF - SEARCH CAMPAIGN,170,376.92,10.0,0
extras carte funciara ancpi,Extras CF - SEARCH CAMPAIGN,125,353.8,10.0,0
extract de carte funciara,Extras CF - SEARCH CAMPAIGN,95,338.54,10.0,0
extras de carte funciara,PMAX- GENERAL,152,304.3,10.0,0
cazier fiscal persoane fizice online,OTP - CAZIER FISCAL,105,188.28,10.0,0
certificat fiscal,ASSISTENTA NOU,106,176.29,10.0,0
cazier judiciar firma,ASSISTENTA NOU,50,167.32,10.0,0
extrase carte funciara online,Extras CF - SEARCH CAMPAIGN,39,158.25,10.0,0
cazier,ASSISTENTA NOU,77,112.93,10.0,0
cazier online ghiseul ro,ASSISTENTA NOU,54,74.4,10.0,0
ancpi sector 1,Extras CF - SEARCH CAMPAIGN,12,26.78,10.0,0
cadastru satu mare,Extras CF - SEARCH CAMPAIGN,179,340.09,9.99,0
obtinere extras de carte funciara,Extras CF - SEARCH CAMPAIGN,112,532.35,9.97,0
cazier judiciar firma online,ASSISTENTA NOU,125,519.94,9.83,0
ocpi extras de carte funciara,Extras CF - SEARCH CAMPAIGN,76,235.24,9.76,0
extras de carte funciara colectiva,Extras CF - SEARCH CAMPAIGN,92,188.32,9.74,0
eliberare cazier fiscal online persoane fizice,ASSISTENTA NOU,19,32.06,9.62,0
eliberare certificat fiscal anaf online,OTP - CAZIER FISCAL,282,341.1,9.6,0
ghiseul ro cazier judiciar online,OPT- Cazier Judiciar Online,684,606.59,9.55,0
oficiul de cadastru,Extras CF - SEARCH CAMPAIGN,232,652.17,9.5,0
emitere certificat constatator,OPT - Certificat Constatator,78,619.99,9.5,0
cadastru bistrita,Extras CF - SEARCH CAMPAIGN,107,204.18,9.5,0
certificat constatator punct de lucru,OPT - Certificat Constatator,170,625.06,9.49,0
cazier fiscal online gratuit,OTP - CAZIER FISCAL,246,373.7,9.42,0
cazier online ghiseul ro,OPT- Cazier Judiciar Online,623,1038.08,9.37,0
ancpi carte funciara,Extras CF - SEARCH CAMPAIGN,227,444.85,9.33,0
certificat constatator emis de onrc,OPT - Certificat Constatator,41,273.43,9.33,0
scoatere cazier online,OPT- Cazier Judiciar Online,450,875.67,9.27,0
ghiseul ro extras carte funciara,Extras CF - SEARCH CAMPAIGN,84,410.11,9.15,0
certificat constatator registrul comertului online,OPT - Certificat Constatator,91,405.65,9.15,0
certificat onrc,OPT - Certificat Constatator,97,836.96,9.04,0
certificat constatator extins,OPT - Certificat Constatator,196,507.54,9.01,0
cazier fiscal,SEARCH-NEW-2026,199,779.58,9.0,0
obtinere cf online,Extras CF - SEARCH CAMPAIGN,145,546.69,9.0,0
onrc sibiu,OPT - Certificat Constatator,153,494.24,9.0,0
ancpi arad,Extras CF - SEARCH CAMPAIGN,146,337.89,9.0,0
cadastru iasi,Extras CF - SEARCH CAMPAIGN,155,335.64,9.0,0
extras de carte funciara online iasi,Extras CF - SEARCH CAMPAIGN,67,320.27,9.0,0
cazier fiscal persoana fizica,ASSISTENTA NOU,123,312.72,9.0,0
extras cf online 20 lei,Extras CF - SEARCH CAMPAIGN,120,309.96,9.0,0
ocpi dambovita,Extras CF - SEARCH CAMPAIGN,105,269.01,9.0,0
cerere cf online,Extras CF - SEARCH CAMPAIGN,59,256.27,9.0,0
extras cf online cluj napoca,Extras CF - SEARCH CAMPAIGN,33,148.04,9.0,0
extras carte funciara cluj online,Extras CF - SEARCH CAMPAIGN,37,145.47,9.0,0
cazierul judiciar online,ASSISTENTA NOU,87,140.75,9.0,0
certificat beneficiar real,OPT - Certificat Constatator,39,129.32,9.0,0
scoatere cazier online,ASSISTENTA NOU,20,36.6,9.0,0
certificat cazier fiscal online,ASSISTENTA NOU,24,30.85,9.0,0
eliberare cazier online,ASSISTENTA NOU,24,22.76,9.0,0
ghiseul ro cazier online,ASSISTENTA NOU,17,16.04,9.0,0
extras cf online oradea,Extras CF - SEARCH CAMPAIGN,121,526.15,8.99,0
extras de carte funciara online,PMAX- GENERAL,89,287.0,8.99,0
cum obtin extras de carte funciara,Extras CF - SEARCH CAMPAIGN,116,365.16,8.97,0
extras carte funciara valabilitate,Extras CF - SEARCH CAMPAIGN,119,222.21,8.9,0
carte funciara online,PMAX- GENERAL,292,678.55,8.85,0
certificat constatator forma extinsa,OPT - Certificat Constatator,130,729.62,8.83,0
extras de carte funciara satu mare,Extras CF - SEARCH CAMPAIGN,112,380.45,8.83,0
certificat de atestare fiscala online,OTP - CAZIER FISCAL,400,550.9,8.74,0
extras carte funciara online,PMAX- GENERAL,202,560.19,8.67,0
carte funciara arad,Extras CF - SEARCH CAMPAIGN,77,212.05,8.67,0
certificat registrul comertului,OPT - Certificat Constatator,62,479.51,8.58,0
cazier fiscal online cluj,OTP - CAZIER FISCAL,77,132.82,8.58,0
cartea funciara timisoara,Extras CF - SEARCH CAMPAIGN,146,352.94,8.52,0
certificat constatator in forma extinsa,OPT - Certificat Constatator,96,547.54,8.5,0
