Raportul Cuvânt cheie pentru Rețeaua de căutare
Toată perioada
Starea cuvântului cheie	Cuvânt cheie	Tip de potrivire	Campanie	Grup de anunțuri	Stare	Motive pentru stare	Codul monedei	CPC max.	Adresa URL finală	Clicuri	Af.	CTR	CPC med.	Cost	Scorul de calitate	Valoarea CTR estimată	Experiența legată de pagina de destinație	Relevanța anunțurilor	Cotă afișări în Rețeaua de căutare	Procentaj de afișări în primele poziții în Rețeaua de căutare	IS - valoarea absolută superioară din Rețeaua de căutare	Procentaj de afișări pierdute în Rețeaua de căutare (poziție)	Procentaj de afișări cu potrivire exactă în Rețeaua de căutare	% afișări (în primele poziții)	% afișări (în prima poziție)	Rata de conv.	Valoarea conversiilor	Valoare conv./Cost	Conversii	Cost/Conversie	Valoarea inițială a conv.
Activat	cazier judiciar online persoane juridice	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		598	3.514	"17,02%"	"4,84"	"2891,52"	 --	 --	 --	 --	"35,63%"	"29,83%"	< 10%	"64,28%"	"74,17%"	"80,25%"	"13,98%"	"4,53%"	"6.220,11"	"2,15"	"27,09"	"106,74"	"6.220,07"
Activat	cazier persoana fizica	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		3.021	13.665	"22,11%"	"3,48"	"10506,76"	 --	 --	 --	 --	"36,75%"	"30,31%"	"13,86%"	"63,06%"	"70,21%"	"78,94%"	"36,01%"	"4,07%"	"22.079,91"	"2,10"	"122,97"	"85,44"	"22.079,75"
Activat	eliberare cazier online	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		2.631	10.598	"24,83%"	"1,74"	"4566,66"	 --	 --	 --	 --	"26,93%"	"22,72%"	< 10%	"72,97%"	"39,99%"	"83,29%"	"16,56%"	"1,71%"	"3.704,13"	"0,81"	"44,97"	"101,54"	"3.704,03"
Activat	obtine cazier online	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		5.688	24.930	"22,82%"	"2,08"	"11830,50"	 --	 --	 --	 --	"26,60%"	"21,91%"	< 10%	"73,16%"	"58,19%"	"80,56%"	"19,83%"	"1,64%"	"18.719,24"	"1,58"	"93,22"	"126,92"	"18.719,08"
Activat	obtinere cazier judiciar	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		6.154	29.890	"20,59%"	"1,68"	"10357,65"	 --	 --	 --	 --	"19,07%"	"16,12%"	< 10%	"80,56%"	"61,77%"	"82,99%"	"19,48%"	"1,91%"	"11.391,12"	"1,10"	"117,32"	"88,29"	"11.391,00"
Activat	se poate obtine cazier judiciar online	Potrivire amplă	OPT- Cazier Judiciar Online	Cazier Judiciar Online	Neeligibil	campanie întreruptă	RON	 --		362	1.511	"23,96%"	"2,31"	"834,84"	 --	 --	 --	 --	"33,62%"	"29,07%"	< 10%	"66,11%"	"58,58%"	"82,18%"	"18,57%"	"2,35%"	"1.887,52"	"2,26"	"8,50"	"98,22"	"1.887,50"
Activat	caziere juridice	Potrivire amplă	Cazier Judiciar 2026 v3	Grupul de anunțuri 1	Neeligibil	campanie întreruptă	RON	 --		0	0	 --	0	"0,00"	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"0,00%"	"0,00"	"0,00"	"0,00"	"0,00"	"0,00"
Activat	cazier juridic	Potrivire amplă	Cazier Judiciar 2026 v3	Grupul de anunțuri 1	Neeligibil	campanie întreruptă	RON	 --		0	1	"0,00%"	0	"0,00"	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"0,00%"	"0,00"	"0,00"	"0,00"	"0,00"	"0,00"
Activat	cerere cazier judiciar	Potrivire amplă	Cazier Judiciar 2026 v3	Grupul de anunțuri 1	Neeligibil	campanie întreruptă	RON	 --		0	11	"0,00%"	0	"0,00"	 --	 --	 --	 --	"63,64%"	"54,55%"	< 10%	"36,36%"	"100,00%"	"85,71%"	"14,29%"	"0,00%"	"0,00"	"0,00"	"0,00"	"0,00"	"0,00"
Activat	cazier judiciar acte necesare	Potrivire amplă	Cazier Judiciar 2026 v3	Grupul de anunțuri 1	Neeligibil	campanie întreruptă	RON	 --		0	0	 --	0	"0,00"	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	 --	"0,00%"	"0,00"	"0,00"	"0,00"	"0,00"	"0,00"
