path,tip,status,indexability,indexability_status,word_count,sentence_count,avg_words_sentence,flesch,text_ratio,size_bytes,crawl_depth,folder_depth,inlinks,unique_inlinks,outlinks,unique_outlinks,external_outlinks,title_len,title_px,metadesc_len,metadesc_px,h1_len,canonical_self,meta_robots,response_time,gsc_clicuri_3luni,gsc_expuneri_3luni
/calculator/vechime-in-munca/,calculator,200,Indexable,,1372,219,6.265,60.997,5.324,209959,2,2,6,6,88,55,4,59,521,106,649,27,da,"index, follow",0.191,837,6085
/calculator/zile-concediu-odihna/,calculator,200,Indexable,,1415,221,6.403,63.541,5.382,209881,2,2,6,6,88,55,4,63,564,116,690,34,da,"index, follow",0.06,15,272
/calculator/zile-lucratoare/,calculator,200,Indexable,,1242,179,6.939,64.037,5.003,206464,2,2,2,2,88,55,4,45,396,148,865,31,da,"index, follow",0.057,97,47672
/cat-costa-cadastrul-si-intabularea/,articol,200,Indexable,,1649,309,5.337,55.356,6.127,214882,2,1,6,6,99,58,4,87,763,207,1264,73,da,"index, follow",0.153,170,10836
/cat-poti-construi-pe-teren/,articol,200,Indexable,,1383,219,6.315,66.276,5.505,200883,2,1,4,4,92,54,4,75,674,211,1272,61,da,"index, follow",0.123,42,2025
/cazier-fiscal-fara-spv/,articol,200,Indexable,,1970,284,6.937,52.496,6.82,221418,2,1,2,2,88,55,4,76,631,217,1286,97,da,"index, follow",0.06,38,1183
/cazier-fiscal-firma/,articol,200,Indexable,,1999,282,7.089,33.783,7.185,226929,2,1,2,2,90,57,4,74,640,271,1578,103,da,"index, follow",0.123,10,770
/cazier-fiscal-persoana-fizica/,articol,200,Indexable,,1610,241,6.68,52.503,5.922,216330,2,1,7,7,88,54,4,96,796,209,1211,82,da,"index, follow",0.152,17,1482
/cazier-judiciar-online-gratuit/,articol,200,Indexable,,1547,277,5.585,56.685,5.744,216430,2,1,4,3,91,58,4,80,687,321,1854,117,da,"index, follow",0.108,0,0
/cazier-judiciar-vs-certificat-integritate-comportamentala/,articol,200,Indexable,,1486,252,5.897,18.954,6.49,206356,2,1,6,5,87,54,4,74,655,219,1328,60,da,"index, follow",0.052,59,9516
/cazier-si-certificat-de-integritate-pentru-profesori/,articol,200,Indexable,,1396,217,6.433,48.256,5.746,203017,2,1,3,3,89,56,5,73,616,214,1256,104,da,"index, follow",0.1,10,140
/ce-este-planul-cadastral/,articol,200,Indexable,,648,114,5.684,38.393,3.723,187641,2,1,5,5,90,56,4,82,700,178,1039,68,da,"index, follow",0.056,4,215
/ce-este-un-releveu/,articol,200,Indexable,,727,121,6.008,40.148,3.903,188152,2,1,3,3,88,56,4,67,580,192,1132,53,da,"index, follow",0.214,20,1208
/cele-4-tipuri-de-certificat-constatator-online/,articol,200,Indexable,,1312,222,5.91,47.499,5.592,202797,2,1,16,10,99,67,4,72,603,257,1487,58,da,"index, follow",0.058,479,71189
/certificat-constatator-cu-istoric/,articol,200,Indexable,,828,132,6.273,47.207,4.244,187452,2,1,7,6,88,55,5,79,647,198,1137,65,da,"index, follow",0.044,2,230
/certificat-constatator-de-baza/,articol,200,Indexable,,1015,159,6.384,49.576,4.634,195170,2,1,6,6,94,60,4,86,725,205,1204,72,da,"index, follow",0.062,0,0
/certificat-constatator-insolventa/,articol,200,Indexable,,913,152,6.007,48.773,4.417,193974,2,1,5,5,91,58,4,80,676,221,1301,66,da,"index, follow",0.054,0,0
/certificat-constatator-pentru-banca/,articol,200,Indexable,,1579,228,6.925,54.073,6.317,199715,2,1,4,3,90,55,4,80,687,174,993,66,da,"index, follow",0.058,2,64
/certificat-constatator-pentru-fonduri-europene/,articol,200,Indexable,,1437,208,6.909,41.279,6.073,196839,2,1,2,2,87,56,4,82,735,155,914,68,da,"index, follow",0.042,0,57
/certificat-constatator-pentru-licitatie/,articol,200,Indexable,,1284,191,6.723,46.032,5.641,193741,2,1,4,3,87,54,4,80,714,185,1107,66,da,"index, follow",0.106,2,27
/certificat-constatator-pentru-notar/,articol,200,Indexable,,1470,208,7.067,52.964,5.96,198623,2,1,4,3,88,54,4,82,693,184,1063,68,da,"index, follow",0.062,0,30
/certificat-constatator-pfa/,articol,200,Indexable,,887,152,5.836,40.391,4.423,193250,2,1,5,5,91,58,4,79,662,199,1150,65,da,"index, follow",0.058,0,0
/certificat-de-celibat-pentru-casatorie-in-strainatate/,articol,200,Indexable,,1637,224,7.308,50.062,6.433,201347,2,1,3,3,91,56,4,90,773,164,967,76,da,"index, follow",0.054,1,77
/certificat-de-celibat/,articol,200,Indexable,,1506,205,7.346,50.626,6.129,197842,2,1,4,4,90,55,4,70,592,170,1003,56,da,"index, follow",0.142,2,104
/certificat-de-nastere-din-strainatate/,articol,200,Indexable,,1444,218,6.624,59.678,5.559,209921,2,1,3,3,89,57,4,86,712,224,1277,114,da,"index, follow",0.109,5,317
/certificat-de-nastere-pentru-buletin-pasaport/,articol,200,Indexable,,2314,322,7.186,50.339,7.522,229958,2,1,2,2,90,58,4,77,672,216,1231,88,da,"index, follow",0.098,15,1131
/certificat-de-nastere-pierdut/,articol,200,Indexable,,1316,182,7.231,47.396,5.708,193182,2,1,16,13,87,54,4,76,656,149,863,62,da,"index, follow",0.183,4,365
/contact/,legal,200,Indexable,,236,68,3.471,69.601,2.544,158548,1,1,465,232,84,53,5,35,313,166,1018,7,da,"index, follow",0.146,190,17337
