unique_inlinks,inlinks,crawl_depth,tip,path,word_count,gsc_clicuri_3luni
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/alba-iulia/,1436,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/alexandria/,1390,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/arad/,1423,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/bacau/,1406,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/baia-mare/,1427,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/barlad/,1327,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/bistrita/,1393,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/botosani/,1401,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/braila/,1404,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/brasov/,1443,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/bucuresti/,1395,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/buzau/,1412,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/calarasi/,1400,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/cluj-napoca/,1416,11
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/constanta/,1432,6
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/craiova/,1419,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/deva/,1405,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/drobeta-turnu-severin/,1439,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/focsani/,1388,10
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/galati/,1412,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/giurgiu/,1394,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/iasi/,1434,6
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/ilfov/,1425,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/lugoj/,1322,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/medias/,1327,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/miercurea-ciuc/,1410,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/onesti/,1325,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/oradea/,1431,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/piatra-neamt/,1431,26
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/pitesti/,1423,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/ploiesti/,1404,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/ramnicu-valcea/,1409,15
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/resita/,1395,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/satu-mare/,1437,5
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/sebes/,1333,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/sfantu-gheorghe/,1417,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/sibiu/,1401,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/slatina/,1405,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/slobozia/,1384,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/suceava/,1412,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/targoviste/,1405,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/targu-jiu/,1427,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/targu-mures/,1427,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/timisoara/,1421,9
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/tulcea/,1412,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/turda/,1330,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/vaslui/,1401,0
49,49,2,locatie-cazier,/servicii/cazier-judiciar-online/zalau/,1402,0
232,930,0,homepage,/,2384,4567
232,466,1,hub,/blog/,1953,6
232,277,1,hub,/calculator/,566,17
232,238,1,calculator,/calculator/amenda-circulatie/,1527,217
232,236,1,calculator,/calculator/calculator-impozit-auto/,1136,0
232,237,1,calculator,/calculator/calculator-procente/,1630,1423
232,240,1,calculator,/calculator/cat-pot-construi/,1419,33
232,237,1,calculator,/calculator/concediu-medical/,1606,2614
232,234,1,calculator,/calculator/credit-ipotecar/,1338,5
232,236,1,calculator,/calculator/dividende/,1440,1379
232,235,1,calculator,/calculator/estimare-pensie/,1236,0
232,234,1,calculator,/calculator/impozit-casa/,1444,88
232,235,1,calculator,/calculator/indemnizatie-somaj/,1389,456
232,236,1,calculator,/calculator/jugar-stanjen-in-mp/,1423,61
232,234,1,calculator,/calculator/pensie-alimentara/,1259,3298
232,254,1,calculator,/calculator/salariu/,1111,14075
232,292,1,calculator,/calculator/taxe-notariale/,1440,253
232,237,1,calculator,/calculator/termene-judiciare/,1333,1830
232,240,1,calculator,/calculator/tva/,1477,2240
232,241,1,calculator,/calculator/valabilitate-documente/,768,6
232,238,1,calculator,/calculator/varsta-pensionare/,1240,2
232,465,1,legal,/contact/,236,190
232,237,1,articol,/curs-valutar/,502,336
232,235,1,legal,/gdpr/,239,0
232,234,1,legal,/politica-cookies/,407,1
232,234,1,legal,/politica-de-anulare/,781,3
232,238,1,legal,/politica-de-confidentialitate/,1232,1
232,370,1,hub,/servicii/,837,20
232,236,1,serviciu,/servicii/actualizare-adresa-cf/,2283,40
232,526,1,serviciu,/servicii/cazier-auto-online/,3040,1692
232,542,1,serviciu,/servicii/cazier-fiscal-online/,2700,1
232,684,1,serviciu,/servicii/cazier-judiciar-online/,4793,402
232,516,1,variant-serviciu,/servicii/cazier-judiciar-online/persoana-fizica/,2275,8
232,515,1,variant-serviciu,/servicii/cazier-judiciar-online/persoana-juridica/,2235,1
232,1933,1,serviciu,/servicii/certificat-constatator-online/,3249,78
232,526,1,serviciu,/servicii/certificat-de-integritate-comportamentala/,2633,0
