site,class,url,words,ai_per1k,ai_per1k_nodash,promo,hedging,falseRanges,filler,copula,gerunds,dashes,boldTermLists,h2,robots
EGH,location,https://eghiseul.ro/servicii/extras-de-carte-funciara/prahova,915,12.02,0,0,0,0,0,0,0,11,0,10,"index, follow"
EGH,location,https://eghiseul.ro/servicii/extras-de-carte-funciara/salaj,742,16.17,0,0,0,0,0,0,0,12,0,9,"index, follow"
EGH,location,https://eghiseul.ro/servicii/extras-de-carte-funciara/satu-mare,764,15.71,0,0,0,0,0,0,0,12,0,9,"index, follow"
EGH,location,https://eghiseul.ro/servicii/extras-de-carte-funciara/sibiu,950,20,0,0,0,0,0,0,0,19,0,10,"index, follow"
EGH,location,https://eghiseul.ro/servicii/extras-de-carte-funciara/suceava,944,20.13,0,0,0,0,0,0,0,19,0,10,"index, follow"
EGH,location,https://eghiseul.ro/servicii/extras-de-carte-funciara/teleorman,734,12.26,0,0,0,0,0,0,0,9,0,9,"index, follow"
EGH,location,https://eghiseul.ro/servicii/extras-de-carte-funciara/timis,938,14.93,0,0,0,0,0,0,0,14,0,10,"index, follow"
EGH,location,https://eghiseul.ro/servicii/extras-de-carte-funciara/tulcea,736,12.23,0,0,0,0,0,0,0,9,0,9,"index, follow"
EGH,location,https://eghiseul.ro/servicii/extras-de-carte-funciara/valcea,741,16.19,0,0,0,0,0,0,0,12,0,9,"index, follow"
EGH,location,https://eghiseul.ro/servicii/extras-de-carte-funciara/vaslui,735,12.24,0,0,0,0,0,0,0,9,0,9,"index, follow"
EGH,location,https://eghiseul.ro/servicii/extras-de-carte-funciara/vrancea,746,20.11,0,0,0,0,0,0,0,15,0,9,"index, follow"
EGH,service,https://eghiseul.ro/servicii/extras-multilingv-certificat-casatorie,2458,12.21,2.44,0,0,6,0,0,0,24,0,11,"index, follow"
EGH,service,https://eghiseul.ro/servicii/extras-multilingv-certificat-nastere,2450,12.65,2.86,0,1,6,0,0,0,24,0,11,"index, follow"
EGH,service,https://eghiseul.ro/servicii/extras-plan-cadastral,2189,5.48,0,0,0,0,0,0,0,12,0,8,"index, follow"
EGH,service,https://eghiseul.ro/servicii/identificare-imobil,2262,7.52,1.77,0,0,4,0,0,0,13,0,8,"index, follow"
EGH,service,https://eghiseul.ro/servicii/identificare-imobile-proprietar,2329,3.43,0,0,0,0,0,0,0,8,0,8,"index, follow"
EGH,service,https://eghiseul.ro/servicii/plan-amplasament-delimitare,2282,5.7,1.31,0,2,0,1,0,0,10,0,8,"index, follow"
EGH,service,https://eghiseul.ro/servicii/rovinieta-online,759,11.86,2.64,1,1,0,0,0,0,7,1,7,"index, follow"
EGH,article,https://eghiseul.ro/sms-fals-amenda-ghiseul-ro,1008,1.98,0.99,0,0,0,1,0,0,1,0,8,"index, follow"
EGH,article,https://eghiseul.ro/suspendare-activitate-firma-ghid,717,11.16,0,0,0,0,0,0,0,8,0,8,"index, follow"
EGH,article,https://eghiseul.ro/tabel-varsta-pensionare-anticipata-femei,2535,1.18,0.39,0,1,0,0,0,0,2,0,9,"index, follow"
EGH,article,https://eghiseul.ro/taxa-cazier-judiciar,847,8.26,2.36,0,1,0,1,0,0,5,0,8,"index, follow"
EGH,legal,https://eghiseul.ro/termeni-si-conditii,1668,17.99,1.8,1,1,1,0,0,0,27,1,18,"index, follow"
EGH,hub,https://eghiseul.ro/tools,147,13.61,0,0,0,0,0,0,0,2,0,3,"index, follow"
EGH,tool,https://eghiseul.ro/tools/verificare-rovinieta-online,871,8.04,1.15,0,0,0,1,0,0,6,1,9,"index, follow"
EGH,article,https://eghiseul.ro/totul-despre-cartea-funciara-colectiva,988,1.01,0,0,0,0,0,0,0,1,0,9,"index, follow"
EGH,article,https://eghiseul.ro/transcriere-certificat-de-casatorie,711,7.03,1.41,0,1,0,0,0,0,4,0,9,"index, follow"
EGH,article,https://eghiseul.ro/transcriere-certificat-de-nastere,1283,14.81,5.46,1,4,0,2,0,0,12,0,12,"index, follow"
EGH,article,https://eghiseul.ro/tva-9-locuinte-31-iulie-2026,2231,18.83,1.79,0,2,0,1,1,0,38,5,9,"index, follow"
EGH,article,https://eghiseul.ro/valabilitate-certificat-de-celibat,1657,12.67,3.02,1,2,0,2,0,0,16,0,12,"index, follow"
EGH,article,https://eghiseul.ro/valabilitate-extras-de-carte-funciara,781,6.4,5.12,0,4,0,0,0,0,1,0,6,"index, follow"
EGH,article,https://eghiseul.ro/verificare-cazier-fiscal,1902,4.21,2.63,1,1,2,1,0,0,3,0,11,"index, follow"
EGH,article,https://eghiseul.ro/verificare-proprietar-imobil,1383,1.45,0.72,0,0,0,1,0,0,1,0,11,"index, follow"
CJO,article,https://cazierjudiciaronline.com/acte-necesare-cazier-judiciar,2236,25.04,3.58,0,0,7,0,1,0,48,1,11,""
CJO,hub,https://cazierjudiciaronline.com/blog,1036,21.24,0,0,0,0,0,0,0,22,0,3,""
CJO,service,https://cazierjudiciaronline.com/cazier-auto-online,962,12.47,10.4,1,1,8,0,0,0,2,0,8,""
CJO,service,https://cazierjudiciaronline.com/cazier-fiscal-online,2135,16.86,8.43,0,2,15,1,0,0,18,1,16,""
CJO,service,https://cazierjudiciaronline.com/cazier-fiscal-persoana-juridica,1991,10.05,4.52,0,1,7,1,0,0,11,3,13,""
CJO,article,https://cazierjudiciaronline.com/cazier-fiscal-vs-cazier-judiciar,2185,6.86,5.95,0,1,9,3,0,0,2,0,10,""
CJO,service,https://cazierjudiciaronline.com/cazier-judiciar-diaspora,2472,19.82,11.33,0,4,24,0,0,0,21,0,15,""
CJO,article,https://cazierjudiciaronline.com/cazier-judiciar-gratuit,2806,19.24,7.13,0,1,18,1,0,0,34,9,12,""
CJO,location,https://cazierjudiciaronline.com/cazier-judiciar-online/alba-iulia,1383,15.91,10.12,1,2,11,0,0,0,8,1,16,""
CJO,location,https://cazierjudiciaronline.com/cazier-judiciar-online/alexandria,1359,16.19,10.3,1,2,11,0,0,0,8,1,16,""
